hash,image_count,image_paths
6a8ca30025aee21798ed79d862581760,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi fresh banana(4-7)/aug_205_IMG_20251123_110010767_HDR_AE.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi fresh banana(4-7)/IMG_20251123_110010767_HDR_AE.jpg
cf730c43954c282019d8202fd2c659cb,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi fresh banana(4-7)/IMG_20251107_113837338_HDR_AE(1).jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi fresh banana(4-7)/IMG_20251107_113837338_HDR_AE.jpg
f5ad84d43db55c97064d10e602335543,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi Fresh Bittermelon ( 3-5)/aug_106_IMG_20260116_025922.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi Fresh Bittermelon ( 3-5)/IMG_20260116_025922.jpg
7e4515575420f6f67419776ebac9759d,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi Fresh Bittermelon ( 3-5)/aug_167_IMG_20251123_013340.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi Fresh Bittermelon ( 3-5)/IMG_20251123_013340.jpg
2fbd7d5263f56cecc69e743d733d6fd1,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi fresh Orange(9-20)/aug_159_IMG_20251113_124206908_HDR_AE.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi fresh Orange(9-20)/IMG_20251113_124206908_HDR_AE.jpg
34df3877ccfb2b559881f7fd3e13b899,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi fresh Orange(9-20)/aug_23_IMG_20251201_133050303_HDR.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi fresh Orange(9-20)/IMG_20251201_133050303_HDR.jpg
411354b3d3bb00a6a0a429689cd5f053,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi Fresh Papaya(4-7)/aug_348_IMG_20251031_164000.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi Fresh Papaya(4-7)/aug_467_IMG_20251031_164000.jpg
161a397a0d9618822f1157103a58645b,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi fresh Pineapple (15-25)/aug_66_IMG-20251207-WA0024.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi fresh Pineapple (15-25)/IMG-20251207-WA0024.jpg
7a41781f843916ad230ec341e1e43f4c,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi fresh Tomato(10-24)/IMG_20251201_185705406_HDR(1).jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi fresh Tomato(10-24)/IMG_20251201_185705406_HDR.jpg
117c9afb7d3a8972339e0eaf4c9c5f44,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi fresh Tomato(10-24)/IMG_20251201_185755067_HDR(1).jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi fresh Tomato(10-24)/IMG_20251201_185755067_HDR.jpg
